Biome_Name,Biome_Val
No Data,0
Tropical-subtropical forests,1
Temperate-boreal forests and woodlands,2
Shrublands and shrubby woodlands,3
Savannas and grasslands,4
Deserts and semi-deserts,5
Polar/alpine (cryogenic),6
Intensive land-use,7
Subterranean lithic,8
Anthropogenic subterranean voids,9
Subterranean freshwaters,10
Anthropogenic subterranean freshwaters,11
Subterranean tidal,12
Palustrine wetlands,13
Rivers and streams,14
Lakes,15
Artificial wetlands,16
Semi-confined transitional waters,17
Marine shelf,18
Pelagic ocean waters,19
Deep sea floors,20
Anthropogenic marine,21
Shorelines,22
Supralittoral coastal,23
Anthropogenic shorelines,24
Brackish tidal,25
No Data,255
